"","Gene11","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene33","Gene34","Gene35","Gene42","Gene43","Gene82","Gene85","Gene87","Gene88","Gene89","Gene90","Gene92","Gene94","Gene95","Gene96","Gene97","Gene98","Gene117","Gene121","Gene122","Gene125","Gene139","Gene140","Gene143","Gene147","Gene152","Gene155","Gene161","Gene165","Gene192","Gene194","Gene233","Gene272","Gene351","Gene414","Gene425","Gene586","Gene602","Gene614","Gene629","Gene659","Gene697","Gene791","Gene819","Gene826","Gene829","Gene966","Gene1000","Gene1026","Gene1076","Gene1107","Gene1111","Gene1139","Gene1171","Gene1206","Gene1374","Gene1429","Gene1431","Gene1439","Gene1492","Gene1509","Gene1607","Gene1628","Gene1657","Gene1695","Gene1714","Gene1753","Gene1755","Gene1829","Gene1873","Gene1902","Gene1939","Gene1941"
"Cell76",0,46,0,22,5,22,0,0,0,28,54,52,0,13,37,18,39,3,4,21,4,13,7,0,4,40,36,59,0,9,0,13,0,10,2,15,2,9,1,38,65,2,0,31,6,47,215,6,5,59,25,6,7,255,45,133,0,64,0,6,38,93,0,0,17,29,0,7,2,5,9,63,61,0,35,81,26,21,2,14,5,0,22,41
"Cell77",0,37,7,9,2,22,8,0,0,11,88,66,2,7,21,19,33,1,1,32,2,16,3,5,3,37,20,56,0,14,0,3,2,4,0,1,3,1,0,46,78,2,0,30,6,27,161,3,9,66,9,7,6,247,24,132,0,67,0,4,22,77,3,1,5,15,0,4,3,8,10,52,57,0,18,54,20,43,0,14,9,0,23,19
"Cell78",0,43,0,13,2,40,1,0,0,23,67,68,0,2,26,7,48,3,0,20,1,4,0,5,3,30,47,70,1,12,0,3,0,7,0,11,5,2,5,32,74,3,4,44,9,27,157,1,6,92,33,3,2,259,44,142,0,95,0,9,30,103,2,0,7,33,0,8,0,3,2,56,48,0,34,63,21,55,2,25,0,0,22,19
"Cell79",0,22,0,19,0,21,0,0,2,21,37,57,3,3,17,8,31,1,2,12,5,41,4,1,2,20,23,82,0,4,1,10,1,6,0,6,5,5,0,23,60,1,0,38,1,18,100,0,3,35,16,1,6,203,32,92,0,35,0,10,30,63,2,0,3,15,0,5,1,2,0,60,20,0,20,45,6,23,0,7,3,0,16,21
"Cell80",0,44,1,21,1,46,0,0,3,25,62,40,1,8,18,20,36,1,0,39,6,33,3,3,2,42,41,66,0,13,0,14,0,3,1,1,2,0,0,49,44,0,0,31,8,19,120,1,5,60,7,10,5,228,22,117,0,49,0,6,24,40,4,8,8,34,0,3,5,4,10,38,34,0,23,56,5,31,0,7,5,1,18,24
"Cell81",0,29,2,5,3,46,0,0,0,25,56,29,0,6,15,2,19,1,1,22,7,7,2,1,3,18,9,24,0,5,0,12,0,12,3,4,1,1,0,24,25,2,0,32,2,24,150,1,2,39,10,1,6,229,22,118,0,72,0,11,17,58,1,4,2,20,0,7,4,3,7,47,30,0,24,36,4,28,0,7,4,1,7,19
"Cell82",0,41,0,14,2,23,1,0,2,32,68,83,0,4,28,20,57,0,2,27,10,34,3,1,1,51,41,45,0,8,0,6,0,7,0,11,1,1,0,59,73,1,2,62,1,38,201,1,9,104,18,2,8,312,30,192,0,109,0,20,43,80,1,0,13,30,0,18,1,7,8,116,56,0,33,98,24,27,6,15,4,3,15,37
"Cell83",0,38,0,22,4,42,0,0,0,21,46,35,0,6,22,6,43,0,3,15,7,13,2,2,7,22,62,69,1,4,0,16,0,7,0,6,5,1,0,50,36,7,0,42,10,21,114,0,11,67,11,3,4,287,11,109,0,50,0,4,26,62,4,5,4,15,0,4,7,2,2,66,44,0,37,31,19,38,2,8,7,1,10,34
"Cell84",0,22,0,7,3,38,0,0,2,27,53,54,0,3,16,1,41,0,8,18,4,21,2,1,6,49,42,95,0,5,0,23,0,8,0,7,5,6,0,46,63,2,0,36,6,29,150,1,3,95,17,1,2,258,33,114,2,64,1,10,28,59,2,3,19,26,0,3,4,3,12,77,48,0,46,73,26,32,3,11,7,0,14,14
"Cell85",0,37,2,10,9,22,1,0,1,9,47,19,0,4,24,8,27,3,0,17,5,21,1,1,2,13,22,40,0,6,1,10,0,0,2,7,2,0,0,30,20,8,0,20,0,13,111,0,3,43,4,4,2,251,13,74,0,24,0,6,15,77,2,2,5,8,0,1,3,1,2,41,34,0,15,25,11,18,0,21,3,3,15,14
"Cell86",0,32,1,19,1,41,0,0,2,11,48,21,0,6,20,16,24,1,2,25,2,23,3,1,0,14,32,57,0,12,0,16,1,6,1,9,1,4,0,68,39,2,0,23,5,43,132,0,1,21,12,4,1,182,20,56,0,52,0,13,29,56,1,3,7,7,1,3,1,2,2,24,52,0,28,53,21,41,0,2,1,0,9,25
"Cell87",0,31,1,28,1,27,0,0,1,21,42,33,0,5,30,11,51,0,5,31,10,24,6,5,2,20,14,49,0,2,0,6,1,9,0,4,2,0,0,28,83,9,0,42,7,36,157,7,3,82,16,3,6,332,28,122,0,65,1,4,39,71,7,0,5,63,0,14,8,10,6,24,44,0,15,70,28,51,4,7,4,0,15,34
"Cell88",0,22,0,13,1,20,1,1,9,12,63,20,0,13,19,9,35,2,5,23,2,6,0,2,3,11,34,37,0,14,0,8,0,1,1,5,4,2,1,39,40,3,0,34,0,39,113,3,4,44,28,8,2,236,41,104,0,39,0,4,29,61,9,0,9,19,0,2,1,4,8,53,41,0,25,39,17,25,6,6,3,0,19,20
"Cell89",0,42,0,25,4,64,4,0,1,18,71,43,0,17,18,18,29,1,2,35,13,17,2,2,1,45,41,48,0,14,0,6,0,5,0,7,1,0,0,36,45,5,0,33,7,17,161,5,13,57,13,7,1,284,24,102,0,69,0,5,26,98,7,1,7,29,0,9,2,8,9,71,54,0,44,62,24,48,0,10,4,2,26,23
"Cell90",0,43,4,5,11,19,1,1,1,33,38,36,3,3,14,2,35,2,1,25,2,20,0,0,3,22,18,62,0,10,0,4,6,1,1,5,5,0,2,49,47,0,4,41,8,31,190,2,4,53,3,7,1,240,31,89,0,34,1,11,37,52,2,2,11,15,0,4,7,4,2,61,36,1,28,39,14,24,0,14,4,2,14,15
"Cell91",0,17,1,14,1,22,0,0,0,7,32,32,0,3,9,7,31,3,1,19,13,18,0,1,0,22,26,58,0,2,0,12,2,5,2,6,2,1,0,54,73,1,0,46,2,23,126,2,9,36,9,6,3,231,20,92,0,48,0,2,34,79,1,0,10,14,0,5,9,9,3,36,84,0,37,39,20,30,0,3,4,2,11,14
"Cell92",0,35,3,22,6,47,3,0,3,33,57,47,0,25,22,6,38,5,3,54,2,12,6,6,1,43,32,92,0,24,1,22,0,7,4,13,9,0,0,59,71,4,1,45,7,48,193,3,6,114,16,7,3,371,36,134,0,70,0,14,37,70,2,0,18,63,0,5,3,1,12,94,50,0,38,78,33,55,0,18,5,0,14,13
"Cell93",0,62,2,20,0,25,5,0,2,40,50,46,0,20,38,13,31,2,3,17,2,17,7,3,3,24,65,43,0,18,0,1,0,1,0,7,7,1,0,32,35,2,0,44,8,50,147,1,1,53,15,7,1,211,36,126,0,46,1,10,21,80,5,7,18,15,0,2,4,0,5,69,50,0,16,49,20,28,1,11,6,0,17,21
"Cell94",0,42,0,6,2,24,0,0,5,18,42,40,0,6,32,12,29,1,0,14,3,13,5,4,0,22,39,77,0,5,1,27,4,5,2,11,3,1,0,51,46,1,0,28,9,13,120,1,6,60,7,1,0,238,13,69,0,39,0,2,33,71,1,0,4,21,0,0,0,3,6,87,43,0,16,37,13,24,0,4,2,0,30,15
"Cell95",0,68,1,5,2,45,1,0,3,15,31,44,0,5,10,5,37,0,1,9,2,21,0,2,3,26,38,87,0,3,0,2,1,5,0,13,4,0,0,46,49,6,0,54,5,26,115,2,4,57,8,7,0,253,21,85,0,67,0,15,20,60,2,0,5,16,0,5,3,0,8,60,36,0,13,55,11,37,0,9,6,0,8,22
"Cell96",0,34,1,18,2,52,0,0,6,23,74,45,1,7,25,2,41,1,3,24,2,35,0,2,1,24,20,92,0,11,0,17,2,8,4,5,5,1,2,69,39,3,1,35,7,60,165,3,4,64,11,4,2,238,26,118,0,45,0,7,20,51,8,2,15,33,0,1,1,1,9,56,71,0,28,70,12,39,6,16,3,1,8,48
"Cell97",0,42,0,6,5,22,0,0,1,14,49,45,0,4,12,5,36,0,1,26,5,12,1,4,0,24,17,54,0,4,0,16,1,1,0,8,4,3,0,20,57,7,0,37,2,39,123,3,6,51,8,1,1,233,13,116,0,37,0,10,19,29,0,0,3,27,0,11,4,0,5,54,45,0,14,46,17,21,0,2,4,2,10,20
"Cell98",0,44,0,5,1,22,0,0,0,10,76,52,1,1,27,6,16,0,0,11,9,30,1,4,1,21,36,46,0,5,0,13,0,5,0,6,4,0,1,47,56,3,0,16,4,17,124,0,8,66,14,2,0,271,16,132,0,48,0,5,34,64,2,3,3,43,0,3,3,1,4,54,32,0,26,42,21,13,2,8,4,0,12,32
"Cell99",0,20,0,16,3,59,6,1,6,31,29,41,0,4,13,9,36,1,5,12,19,10,5,2,4,21,26,56,0,14,0,10,0,7,0,11,2,4,0,65,24,5,0,27,8,43,96,1,3,54,16,5,9,287,32,85,0,53,0,13,32,85,0,10,3,15,0,9,6,12,7,41,44,0,30,62,14,18,0,19,7,0,6,11
"Cell100",0,46,0,11,1,21,0,0,4,15,22,50,0,4,9,1,23,0,2,8,1,11,3,2,1,20,41,67,0,3,0,12,2,6,0,2,5,2,1,32,56,1,1,33,1,8,130,2,2,58,3,3,4,196,12,92,0,52,0,3,8,25,5,2,7,30,0,7,2,0,9,45,59,0,21,43,8,39,2,3,1,2,13,18
"Cell101",0,14,2,12,1,27,2,0,1,31,74,35,2,6,8,4,43,2,7,22,16,28,4,1,6,24,34,79,0,8,0,9,2,0,7,5,6,1,0,49,67,1,2,42,4,22,143,3,11,97,5,1,1,251,24,81,1,39,0,6,29,66,4,3,3,37,0,14,3,8,4,17,27,0,41,82,9,40,3,5,6,2,23,11
"Cell102",0,44,3,11,6,34,0,1,1,10,60,42,0,6,23,15,36,2,1,30,15,13,0,1,1,20,27,50,0,11,0,7,0,3,0,14,2,1,0,44,49,3,0,36,16,18,154,10,2,50,16,3,2,208,26,91,0,79,0,2,29,58,1,2,9,38,0,10,2,2,6,34,33,0,44,31,18,26,0,20,6,1,15,30
"Cell103",0,40,4,12,3,64,0,0,5,27,90,40,0,13,18,15,45,2,2,32,3,24,2,4,4,50,54,77,0,19,0,19,0,3,1,8,5,4,1,55,53,4,2,41,3,46,264,2,4,77,9,2,11,414,28,132,0,72,0,8,38,52,3,4,10,41,1,1,3,1,10,70,58,0,45,105,21,34,1,13,1,1,12,46
"Cell104",0,30,1,7,4,48,0,0,2,12,43,44,1,4,17,10,43,1,4,15,8,15,1,2,2,43,16,80,0,3,0,7,1,6,0,4,2,2,0,37,44,6,0,30,2,33,132,1,20,68,40,9,5,353,17,81,0,57,0,18,36,59,7,1,16,23,0,3,10,7,1,42,54,0,18,49,6,25,1,7,5,0,13,23
"Cell105",0,81,1,12,9,65,1,0,5,17,82,70,0,2,22,12,44,0,5,41,4,25,5,4,1,23,35,80,0,14,0,16,1,2,3,10,4,0,1,59,98,3,0,39,17,34,144,1,5,49,19,9,13,370,22,161,0,64,1,5,33,66,4,1,6,56,0,9,2,12,10,64,72,0,46,63,24,52,3,6,6,0,16,33
"Cell106",0,60,1,20,4,39,0,0,3,28,115,91,0,8,42,24,44,6,1,41,14,42,1,3,1,42,46,106,0,13,2,15,2,2,0,14,7,4,0,58,77,2,0,47,2,39,150,3,16,98,20,3,19,343,28,156,0,103,1,9,23,85,1,0,3,22,0,12,5,3,1,108,68,0,31,61,13,51,1,23,4,0,41,27
"Cell107",0,75,0,11,7,96,0,0,6,15,51,46,3,14,36,19,38,1,3,40,6,19,1,5,0,31,34,100,0,11,0,22,1,4,0,8,11,6,1,52,55,4,1,61,0,52,210,2,17,69,8,5,8,294,18,119,0,44,0,5,8,80,2,0,11,36,0,26,4,7,1,68,38,0,27,55,13,46,5,7,3,5,24,26
"Cell108",0,40,2,8,3,71,4,0,4,21,99,49,1,41,12,47,6,0,10,7,6,6,1,0,6,6,4,210,0,5,0,44,0,14,1,7,8,8,0,88,18,15,0,13,17,23,161,2,7,45,36,7,38,74,8,87,0,10,0,7,35,58,5,2,2,23,0,15,32,4,10,13,7,0,237,20,1,32,1,6,5,1,11,28
"Cell109",0,60,0,12,1,35,0,0,2,14,19,47,0,0,19,6,30,1,1,13,10,33,8,1,1,27,19,41,0,3,0,2,0,11,0,4,2,1,0,30,40,3,0,41,1,38,136,2,5,49,8,4,0,252,20,78,0,44,0,2,32,51,3,1,9,17,0,7,0,5,4,43,30,0,18,20,13,51,0,5,3,0,7,25
"Cell110",0,45,2,11,1,45,2,0,3,19,53,44,0,3,19,6,27,1,0,28,8,29,5,0,1,24,32,55,0,9,0,6,2,2,1,5,4,1,0,46,42,4,0,46,6,35,169,0,3,38,6,3,5,180,27,134,0,47,0,18,33,45,1,0,12,13,0,2,2,3,5,35,46,0,30,53,8,38,4,10,10,0,7,42
"Cell111",0,33,1,4,2,32,0,0,0,14,36,45,0,10,20,9,18,2,5,7,6,14,8,9,1,15,18,73,0,13,0,4,0,0,0,2,1,1,0,33,49,4,4,23,2,20,105,4,6,66,12,7,5,268,24,37,0,42,1,4,38,42,1,0,4,15,0,12,4,1,5,64,61,0,22,50,28,42,2,8,2,0,11,30
"Cell112",0,36,0,29,6,15,0,1,1,16,45,38,0,3,16,18,50,1,3,21,14,17,4,4,0,27,19,42,0,1,0,3,0,7,1,2,6,1,1,35,43,2,0,50,6,47,109,0,7,74,15,3,3,204,27,85,0,41,0,2,11,32,1,3,9,23,0,1,2,2,6,34,62,0,28,51,11,21,1,5,0,0,10,25
"Cell113",0,58,2,25,1,51,0,0,9,19,48,51,0,14,33,11,31,2,2,31,3,14,2,3,7,39,49,96,0,13,1,12,0,5,0,10,7,0,0,31,61,8,0,51,1,53,171,1,1,88,14,8,3,377,11,156,0,38,0,9,46,86,3,2,5,50,0,9,1,4,8,41,62,0,20,97,19,43,1,19,7,0,26,25
"Cell114",0,42,0,14,7,41,0,0,3,24,52,67,0,10,48,18,56,5,3,49,11,28,0,1,7,39,64,92,0,15,2,15,1,9,0,3,15,3,0,58,64,4,0,50,7,24,132,3,1,72,9,10,3,301,34,135,0,66,0,14,49,95,11,0,6,19,0,20,2,3,5,74,36,0,14,74,13,46,1,16,2,2,18,21
"Cell115",0,43,0,25,0,29,0,0,2,14,49,41,0,4,43,18,52,0,1,28,4,14,4,10,1,17,36,62,0,15,0,9,1,8,0,7,2,5,1,58,53,5,1,35,5,40,162,1,3,77,11,5,7,222,19,123,0,47,0,10,23,109,0,3,5,7,0,4,1,6,3,68,38,0,44,62,25,39,3,11,2,0,15,26
"Cell116",0,46,0,11,10,26,0,0,0,11,73,48,0,5,23,9,39,1,3,14,4,15,5,0,1,29,33,73,0,6,0,12,0,3,1,7,2,1,0,28,45,1,0,44,1,60,108,3,9,76,15,1,2,199,24,102,1,37,0,5,38,65,2,1,16,24,0,6,3,4,12,60,40,0,18,97,9,40,4,11,4,0,7,41
"Cell117",0,39,1,12,3,22,0,0,7,14,73,44,0,3,12,9,41,1,3,33,5,15,0,2,2,24,38,83,0,11,0,7,1,5,0,11,2,1,0,53,33,6,0,25,2,41,173,5,1,58,13,6,9,242,20,115,0,72,0,8,23,71,6,3,11,16,0,8,2,9,4,54,37,0,15,39,14,51,8,5,1,0,5,28
"Cell118",0,36,1,7,2,36,1,1,2,14,48,56,0,3,18,5,11,0,11,29,11,14,3,0,1,32,18,90,0,2,3,5,0,5,1,9,9,1,0,26,47,4,0,38,6,20,193,4,14,63,10,5,5,325,30,134,1,41,0,7,13,49,4,2,8,16,0,3,3,4,10,74,30,0,22,81,8,33,0,13,3,1,15,19
"Cell119",0,20,0,31,3,34,1,2,2,39,84,44,0,8,18,13,24,1,5,15,11,24,7,5,4,27,34,101,0,15,0,21,1,4,1,11,3,2,0,54,67,9,4,33,6,38,127,0,10,121,25,2,5,350,31,139,0,71,0,5,28,49,0,3,8,17,0,9,1,0,12,41,63,0,16,44,13,48,2,8,1,0,19,26
"Cell120",0,70,0,23,10,56,3,0,8,40,65,87,0,13,49,12,74,3,0,24,23,21,14,2,1,30,81,107,0,21,0,13,1,4,0,11,1,0,0,74,97,3,0,40,5,36,197,6,4,84,21,1,18,560,54,140,0,72,0,7,49,78,5,0,12,58,0,6,5,4,8,102,65,0,40,88,22,37,2,16,4,2,20,29
"Cell121",0,45,0,21,12,36,0,0,1,17,54,46,0,8,32,6,22,0,2,20,1,12,0,0,0,14,24,72,0,6,0,20,0,4,0,6,1,1,0,40,93,2,0,52,3,32,146,0,6,52,15,3,4,211,29,85,0,56,0,7,23,52,1,2,7,16,0,2,2,11,6,44,35,0,41,45,18,29,0,11,3,1,4,26
"Cell122",0,48,1,25,4,64,0,0,6,26,78,71,0,13,19,22,16,2,3,24,6,31,2,1,0,21,45,96,0,11,2,10,0,6,2,11,5,0,0,74,62,1,0,42,4,39,182,2,9,82,14,5,13,386,26,149,0,75,0,1,25,52,4,2,4,34,0,12,7,2,10,85,59,1,35,84,13,49,2,22,0,4,23,18
"Cell123",0,44,1,17,5,45,0,0,1,35,62,44,2,5,40,12,39,1,2,47,11,17,2,6,1,39,40,102,0,9,0,4,0,3,3,19,5,6,1,39,84,6,0,76,5,22,187,0,2,72,26,9,12,317,31,134,0,67,0,7,33,101,7,0,10,36,0,10,1,8,8,62,80,0,68,75,24,46,3,7,13,3,17,37
"Cell124",0,51,1,13,3,24,1,0,2,32,47,50,0,4,23,15,32,1,1,31,7,24,4,8,1,30,19,110,0,16,0,14,4,5,5,20,14,5,0,57,69,0,0,23,1,22,163,1,6,68,10,2,2,257,21,101,0,78,0,7,19,42,5,1,11,22,0,4,2,3,3,73,36,0,19,53,10,32,3,3,6,0,10,27
"Cell125",0,24,0,22,3,42,0,1,3,10,44,41,0,5,24,8,41,0,1,21,9,52,0,1,1,25,39,79,0,6,0,15,0,5,0,7,8,3,3,65,68,0,0,53,1,20,201,0,9,71,13,3,4,300,36,110,0,61,0,3,40,44,1,3,5,14,0,5,1,4,2,80,60,0,25,57,9,37,2,11,6,0,15,17
"Cell126",0,43,0,18,3,21,0,1,0,30,52,33,0,6,25,17,20,0,4,19,2,25,0,0,2,9,11,44,0,6,0,9,3,9,1,14,5,0,0,66,54,0,0,43,0,27,154,0,1,58,4,8,2,207,29,109,0,49,0,4,22,61,8,3,4,35,0,5,0,1,16,92,44,0,18,54,9,10,0,7,7,2,13,17
"Cell127",0,41,0,19,5,34,0,0,2,28,53,34,1,5,25,18,47,9,1,18,8,55,0,1,1,31,34,47,0,5,0,26,3,4,2,11,1,5,0,46,75,6,0,43,4,33,149,5,3,71,23,8,3,325,22,145,0,58,0,6,50,82,2,15,11,18,0,3,8,5,10,63,47,0,47,49,15,32,0,4,3,2,19,42
"Cell128",0,17,1,17,7,32,0,0,4,14,77,49,0,2,21,19,29,0,0,14,1,20,5,2,0,21,19,59,0,2,0,26,2,5,0,17,2,1,0,53,58,0,0,28,8,12,220,8,7,82,5,2,0,242,25,74,0,57,0,3,45,39,1,1,8,38,0,4,1,1,6,51,71,0,46,42,19,24,0,3,9,0,10,24
"Cell129",0,65,1,26,3,100,1,0,2,22,73,53,0,4,45,18,65,0,12,34,18,20,7,5,3,46,50,98,0,17,0,11,1,13,0,6,1,5,1,80,88,3,0,63,1,53,295,11,8,115,14,10,10,466,36,131,0,121,0,7,50,97,1,1,18,41,0,5,0,8,5,44,96,0,43,94,24,45,1,11,9,3,28,38
"Cell130",1,39,1,11,1,30,0,0,7,15,43,41,1,5,18,7,46,4,20,39,12,26,3,6,1,29,22,88,0,12,0,11,0,9,2,6,1,1,0,55,44,2,0,61,3,24,125,2,7,78,15,2,10,225,45,133,0,52,0,11,23,70,1,0,6,33,1,3,14,0,6,71,52,0,26,73,26,67,0,10,12,4,16,39
"Cell131",0,40,0,17,1,27,0,0,8,20,54,42,0,6,25,5,21,5,0,27,1,15,0,0,1,11,32,54,0,8,0,5,2,3,2,12,4,4,2,42,37,9,0,25,2,23,147,5,2,50,8,5,4,301,31,68,0,76,0,8,27,53,1,2,6,26,0,5,0,5,10,40,58,0,24,72,17,42,2,12,8,1,30,29
"Cell132",0,54,2,19,2,56,5,1,3,19,81,30,0,4,38,11,46,4,3,23,2,23,1,2,1,29,27,63,0,19,0,6,0,1,0,9,2,5,0,32,79,7,0,49,7,51,160,4,6,73,10,5,4,337,30,160,0,69,1,4,34,58,3,6,12,28,0,11,8,0,9,46,70,0,19,64,27,39,4,11,3,1,13,37
"Cell133",0,34,2,12,6,41,0,0,2,20,53,60,0,5,20,9,16,2,1,23,8,5,2,1,1,29,32,32,0,25,0,21,0,3,2,11,2,1,0,46,42,0,0,50,3,18,122,1,1,82,16,2,10,228,11,95,0,43,0,8,23,36,0,0,10,33,0,1,7,3,9,41,33,0,41,81,25,20,1,10,11,2,23,16
"Cell134",0,38,1,18,2,44,0,0,0,20,67,46,2,3,21,7,49,5,4,31,12,21,8,12,1,26,27,59,0,6,0,9,2,4,0,8,7,3,0,44,72,4,0,56,8,38,190,0,3,87,14,5,3,323,25,115,0,58,0,5,19,50,3,7,7,36,0,11,0,4,9,47,46,1,27,43,27,27,2,5,6,0,13,9
"Cell135",0,76,1,19,7,37,1,0,8,41,59,56,1,2,26,8,55,2,3,33,5,28,1,2,0,31,45,113,0,5,0,9,2,7,2,15,4,4,0,82,51,2,0,57,1,52,185,0,8,104,15,7,2,345,33,144,0,59,0,7,17,79,2,1,4,29,0,9,1,1,11,70,75,1,33,100,14,42,3,10,11,5,13,26
"Cell136",0,58,0,26,2,46,2,0,14,18,81,58,2,7,28,3,24,2,0,30,11,18,7,2,1,27,31,84,2,10,0,10,1,6,0,6,3,2,0,65,67,4,0,25,8,21,160,0,3,52,14,5,7,287,43,114,0,58,0,9,30,54,3,0,17,24,1,4,1,6,6,73,40,1,32,43,23,66,2,9,1,0,26,43
"Cell137",0,24,1,1,10,19,0,0,4,19,47,58,2,4,16,9,21,0,0,11,2,9,0,0,1,15,24,75,0,6,0,2,1,11,2,9,6,0,0,32,50,5,0,31,1,25,115,3,3,64,9,6,8,258,12,79,1,57,0,2,21,72,1,1,10,32,0,8,1,2,4,56,37,0,24,112,10,32,1,6,10,0,11,28
"Cell138",0,46,2,18,3,37,1,0,2,19,57,39,3,3,36,16,48,3,4,20,15,16,1,1,0,42,36,87,0,6,0,12,3,5,0,10,7,4,0,40,46,3,0,22,6,31,143,3,7,37,16,2,14,247,23,136,0,37,0,3,43,70,2,1,12,31,0,3,1,0,6,60,54,0,29,51,11,58,3,2,7,0,21,5
"Cell139",0,25,1,22,7,39,0,0,2,23,72,39,0,1,32,2,63,1,1,18,7,23,7,3,0,19,34,98,0,25,0,6,1,19,0,3,8,3,0,33,75,1,0,70,6,35,220,2,9,89,22,1,3,378,25,143,0,80,0,10,32,81,8,3,8,43,0,12,4,3,6,62,119,0,50,62,15,38,1,5,4,2,8,27
"Cell140",0,42,0,24,5,27,0,0,2,26,54,48,0,6,18,8,70,2,3,12,9,12,2,2,1,29,39,64,0,6,0,7,0,3,8,3,6,0,0,44,81,6,1,44,2,41,136,5,8,97,5,1,1,450,34,124,0,73,0,6,29,51,5,5,10,37,0,5,2,10,0,47,55,0,37,43,24,54,5,15,9,1,12,22
"Cell141",0,25,1,17,7,21,2,0,4,40,91,66,0,0,46,4,37,4,3,28,12,9,2,3,0,17,22,85,0,15,0,15,1,10,1,10,9,2,0,47,37,5,0,31,8,33,190,0,1,55,5,9,2,331,17,101,0,68,1,9,26,75,0,0,14,26,0,17,2,2,16,27,34,0,18,69,8,46,3,5,4,3,24,34
"Cell142",0,67,3,24,6,42,0,3,7,11,59,80,0,11,37,15,64,3,13,37,6,12,5,5,2,22,23,95,0,7,0,22,1,2,1,22,12,3,0,28,59,14,0,51,7,38,217,1,9,101,14,1,5,303,23,130,4,91,0,16,41,112,3,3,15,31,0,19,4,1,12,76,61,0,34,61,13,64,1,6,1,0,12,43
"Cell143",0,58,1,7,2,30,1,0,8,5,41,48,0,4,10,3,25,0,4,15,1,21,5,3,1,31,22,30,0,6,0,11,0,2,1,4,1,0,0,55,55,6,0,51,6,20,145,0,7,51,11,1,3,257,19,98,0,62,0,16,18,65,1,1,9,17,0,2,4,1,9,50,31,0,23,77,8,11,2,5,1,0,28,24
"Cell144",0,42,2,23,10,40,1,1,5,35,47,69,0,7,47,9,42,0,3,21,8,29,1,4,2,32,41,89,0,13,4,21,0,5,2,13,11,1,0,36,62,3,0,60,3,49,199,2,1,99,13,7,2,292,29,133,0,108,0,6,22,65,4,7,9,32,0,2,0,6,1,95,68,0,46,91,17,30,0,10,2,0,19,31
"Cell145",0,48,7,29,1,58,1,0,2,43,71,142,0,7,27,20,41,5,7,49,10,28,3,0,1,24,33,86,0,10,1,13,1,13,0,8,6,7,0,52,59,0,0,64,7,29,264,6,19,95,13,9,4,361,33,106,4,73,0,5,68,77,2,6,22,35,0,7,13,8,4,87,73,0,40,125,32,40,0,15,4,1,9,27
"Cell146",0,53,2,18,0,40,2,0,0,26,66,58,1,4,15,5,54,2,4,27,12,27,3,1,0,27,41,82,0,15,0,5,0,2,3,5,5,0,0,48,39,3,0,18,1,15,162,1,10,79,14,9,4,179,34,103,0,37,3,4,31,61,4,0,22,42,0,3,4,2,3,65,32,0,44,57,23,45,1,1,4,0,10,16
"Cell147",0,39,0,1,2,48,0,0,0,8,27,24,4,4,6,15,40,2,1,17,2,9,4,4,0,20,39,35,0,1,0,5,1,4,0,21,1,1,0,30,30,5,0,15,2,25,110,0,4,70,11,1,14,150,23,74,0,41,0,4,23,55,1,1,6,18,0,5,5,0,2,41,32,0,14,61,9,47,0,3,3,0,8,25
"Cell148",0,57,3,22,5,56,1,0,2,19,33,73,0,3,16,7,51,6,6,43,5,13,2,1,5,46,28,101,0,16,1,15,3,4,0,11,0,2,1,55,62,8,0,35,9,35,205,2,7,109,24,7,8,340,37,195,0,53,1,14,28,94,0,8,23,22,0,16,3,4,6,149,82,0,37,69,20,56,0,9,6,9,24,41
"Cell149",0,45,0,2,0,38,1,0,0,13,18,45,0,8,12,9,48,2,0,61,3,12,2,2,3,36,22,72,0,12,0,4,2,1,1,6,3,4,0,44,55,2,0,46,1,19,160,1,5,71,13,3,7,239,26,105,0,70,0,6,23,54,1,5,6,24,0,14,7,1,5,45,65,0,32,71,30,32,1,2,3,1,7,25
"Cell150",0,50,0,5,1,31,0,1,2,16,34,39,1,1,11,12,15,1,0,29,6,16,0,0,2,23,23,39,0,6,0,9,2,11,0,5,2,0,2,20,37,2,0,14,3,16,88,4,4,51,6,4,1,214,24,105,1,35,0,8,26,34,0,0,10,14,0,7,5,11,4,34,33,0,14,52,9,29,1,4,6,0,9,6
"Cell151",0,85,5,12,10,43,3,2,6,31,77,92,1,8,36,14,72,6,5,24,9,19,4,0,5,20,39,67,0,18,0,7,1,16,7,14,2,1,0,69,44,4,0,42,6,30,179,3,5,74,10,2,4,405,25,146,0,59,0,15,27,90,0,4,30,43,0,12,8,5,9,85,67,0,31,96,23,60,4,6,12,0,7,20
"Cell152",0,41,0,8,2,27,0,0,3,13,49,39,0,1,17,6,36,0,4,16,7,18,5,1,0,18,29,44,0,4,0,6,0,9,1,12,4,1,4,53,68,5,0,20,3,18,185,2,4,51,9,8,6,187,14,89,0,44,0,3,27,40,1,0,6,13,0,2,3,1,10,86,44,0,17,38,20,10,1,5,8,0,10,18
